item,block
minecraft:gray_terracotta,minecraft:magenta_banner
minecraft:gray_wool,minecraft:magenta_bed
minecraft:green_banner,minecraft:magenta_candle
minecraft:green_bed,minecraft:magenta_candle_cake
minecraft:green_candle,minecraft:magenta_carpet
minecraft:green_carpet,minecraft:magenta_concrete
minecraft:green_concrete,minecraft:magenta_concrete_powder
minecraft:green_concrete_powder,minecraft:magenta_glazed_terracotta
minecraft:green_dye,minecraft:magenta_shulker_box
minecraft:green_glazed_terracotta,minecraft:magenta_stained_glass
minecraft:green_shulker_box,minecraft:magenta_stained_glass_pane
minecraft:green_stained_glass,minecraft:magenta_terracotta
minecraft:green_stained_glass_pane,minecraft:magenta_wall_banner
minecraft:green_terracotta,minecraft:magenta_wool
minecraft:green_wool,minecraft:magma_block
minecraft:grindstone,minecraft:mangrove_button
minecraft:guardian_spawn_egg,minecraft:mangrove_door
minecraft:gunpowder,minecraft:mangrove_fence
minecraft:guster_banner_pattern,minecraft:mangrove_fence_gate
minecraft:guster_pottery_sherd,minecraft:mangrove_hanging_sign
minecraft:hanging_roots,minecraft:mangrove_leaves
minecraft:hay_block,minecraft:mangrove_log
minecraft:heart_of_the_sea,minecraft:mangrove_planks
minecraft:heart_pottery_sherd,minecraft:mangrove_pressure_plate
minecraft:heartbreak_pottery_sherd,minecraft:mangrove_propagule
minecraft:heavy_core,minecraft:mangrove_roots
minecraft:heavy_weighted_pressure_plate,minecraft:mangrove_sign
minecraft:hoglin_spawn_egg,minecraft:mangrove_slab
minecraft:honey_block,minecraft:mangrove_stairs
minecraft:honey_bottle,minecraft:mangrove_trapdoor
minecraft:honeycomb,minecraft:mangrove_wall_hanging_sign
minecraft:honeycomb_block,minecraft:mangrove_wall_sign
minecraft:hopper,minecraft:mangrove_wood
minecraft:hopper_minecart,minecraft:medium_amethyst_bud
minecraft:horn_coral,minecraft:melon
minecraft:horn_coral_block,minecraft:melon_stem
minecraft:horn_coral_fan,minecraft:moss_block
minecraft:horse_spawn_egg,minecraft:moss_carpet
minecraft:host_armor_trim_smithing_template,minecraft:mossy_cobblestone
minecraft:howl_pottery_sherd,minecraft:mossy_cobblestone_slab
minecraft:husk_spawn_egg,minecraft:mossy_cobblestone_stairs
minecraft:ice,minecraft:mossy_cobblestone_wall
minecraft:infested_chiseled_stone_bricks,minecraft:mossy_stone_brick_slab
minecraft:infested_cobblestone,minecraft:mossy_stone_brick_stairs
minecraft:infested_cracked_stone_bricks,minecraft:mossy_stone_brick_wall
minecraft:infested_deepslate,minecraft:mossy_stone_bricks
minecraft:infested_mossy_stone_bricks,minecraft:moving_piston
minecraft:infested_stone,minecraft:mud
minecraft:infested_stone_bricks,minecraft:mud_brick_slab
minecraft:ink_sac,minecraft:mud_brick_stairs
minecraft:iron_axe,minecraft:mud_brick_wall
minecraft:iron_bars,minecraft:mud_bricks
minecraft:iron_block,minecraft:muddy_mangrove_roots
minecraft:iron_boots,minecraft:mushroom_stem
minecraft:iron_chestplate,minecraft:mycelium
minecraft:iron_door,minecraft:nether_brick_fence
minecraft:iron_golem_spawn_egg,minecraft:nether_brick_slab
minecraft:iron_helmet,minecraft:nether_brick_stairs
minecraft:iron_hoe,minecraft:nether_brick_wall
minecraft:iron_horse_armor,minecraft:nether_bricks
minecraft:iron_ingot,minecraft:nether_gold_ore
minecraft:iron_leggings,minecraft:nether_portal
minecraft:iron_nugget,minecraft:nether_quartz_ore
minecraft:iron_ore,minecraft:nether_sprouts
minecraft:iron_pickaxe,minecraft:nether_wart
minecraft:iron_shovel,minecraft:nether_wart_block
minecraft:iron_sword,minecraft:netherite_block
minecraft:iron_trapdoor,minecraft:netherrack
minecraft:item_frame,minecraft:note_block
minecraft:jack_o_lantern,minecraft:oak_button
minecraft:jigsaw,minecraft:oak_door
minecraft:jukebox,minecraft:oak_fence
minecraft:jungle_boat,minecraft:oak_fence_gate
minecraft:jungle_button,minecraft:oak_hanging_sign
minecraft:jungle_chest_boat,minecraft:oak_leaves
minecraft:jungle_door,minecraft:oak_log
minecraft:jungle_fence,minecraft:oak_planks
minecraft:jungle_fence_gate,minecraft:oak_pressure_plate
minecraft:jungle_hanging_sign,minecraft:oak_sapling
minecraft:jungle_leaves,minecraft:oak_sign
minecraft:jungle_log,minecraft:oak_slab
minecraft:jungle_planks,minecraft:oak_stairs
minecraft:jungle_pressure_plate,minecraft:oak_trapdoor
minecraft:jungle_sapling,minecraft:oak_wall_hanging_sign
minecraft:jungle_sign,minecraft:oak_wall_sign
minecraft:jungle_slab,minecraft:oak_wood
minecraft:jungle_stairs,minecraft:observer
minecraft:jungle_trapdoor,minecraft:obsidian
minecraft:jungle_wood,minecraft:ochre_froglight
minecraft:kelp,minecraft:orange_banner
minecraft:knowledge_book,minecraft:orange_bed
minecraft:ladder,minecraft:orange_candle
minecraft:lantern,minecraft:orange_candle_cake
minecraft:lapis_block,minecraft:orange_carpet
minecraft:lapis_lazuli,minecraft:orange_concrete
minecraft:lapis_ore,minecraft:orange_concrete_powder
minecraft:large_amethyst_bud,minecraft:orange_glazed_terracotta
minecraft:large_fern,minecraft:orange_shulker_box
minecraft:lava_bucket,minecraft:orange_stained_glass
minecraft:lead,minecraft:orange_stained_glass_pane
minecraft:leather,minecraft:orange_terracotta
minecraft:leather_boots,minecraft:orange_tulip
minecraft:leather_chestplate,minecraft:orange_wall_banner
minecraft:leather_helmet,minecraft:orange_wool
minecraft:leather_horse_armor,minecraft:oxeye_daisy
minecraft:leather_leggings,minecraft:oxidized_chiseled_copper
minecraft:lectern,minecraft:oxidized_copper
minecraft:lever,minecraft:oxidized_copper_bulb
minecraft:light,minecraft:oxidized_copper_door
minecraft:light_blue_banner,minecraft:oxidized_copper_grate
minecraft:light_blue_bed,minecraft:oxidized_copper_trapdoor
minecraft:light_blue_candle,minecraft:oxidized_cut_copper
minecraft:light_blue_carpet,minecraft:oxidized_cut_copper_slab
minecraft:light_blue_concrete,minecraft:oxidized_cut_copper_stairs
minecraft:light_blue_concrete_powder,minecraft:packed_ice
minecraft:light_blue_dye,minecraft:packed_mud
minecraft:light_blue_glazed_terracotta,minecraft:pearlescent_froglight
minecraft:light_blue_shulker_box,minecraft:peony
minecraft:light_blue_stained_glass,minecraft:petrified_oak_slab
minecraft:light_blue_stained_glass_pane,minecraft:piglin_head
minecraft:light_blue_terracotta,minecraft:piglin_wall_head
minecraft:light_blue_wool,minecraft:pink_banner
minecraft:light_gray_banner,minecraft:pink_bed
minecraft:light_gray_bed,minecraft:pink_candle
minecraft:light_gray_candle,minecraft:pink_candle_cake
minecraft:light_gray_carpet,minecraft:pink_carpet
minecraft:light_gray_concrete,minecraft:pink_concrete
minecraft:light_gray_concrete_powder,minecraft:pink_concrete_powder
minecraft:light_gray_dye,minecraft:pink_glazed_terracotta
minecraft:light_gray_glazed_terracotta,minecraft:pink_petals
minecraft:light_gray_shulker_box,minecraft:pink_shulker_box
minecraft:light_gray_stained_glass,minecraft:pink_stained_glass
minecraft:light_gray_stained_glass_pane,minecraft:pink_stained_glass_pane
minecraft:light_gray_terracotta,minecraft:pink_terracotta
minecraft:light_gray_wool,minecraft:pink_tulip
minecraft:light_weighted_pressure_plate,minecraft:pink_wall_banner
minecraft:lightning_rod,minecraft:pink_wool
minecraft:lilac,minecraft:piston
minecraft:lily_of_the_valley,minecraft:piston_head
minecraft:lily_pad,minecraft:pitcher_crop
minecraft:lime_banner,minecraft:pitcher_plant
minecraft:lime_bed,minecraft:player_head
minecraft:lime_candle,minecraft:player_wall_head
minecraft:lime_carpet,minecraft:podzol
minecraft:lime_concrete,minecraft:pointed_dripstone
minecraft:lime_concrete_powder,minecraft:polished_andesite
minecraft:lime_dye,minecraft:polished_andesite_slab
minecraft:lime_glazed_terracotta,minecraft:polished_andesite_stairs
minecraft:lime_shulker_box,minecraft:polished_basalt
minecraft:lime_stained_glass,minecraft:polished_blackstone
minecraft:lime_stained_glass_pane,minecraft:polished_blackstone_brick_slab
minecraft:lime_terracotta,minecraft:polished_blackstone_brick_stairs
minecraft:lime_wool,minecraft:polished_blackstone_brick_wall
minecraft:lingering_potion,minecraft:polished_blackstone_bricks
minecraft:llama_spawn_egg,minecraft:polished_blackstone_button
minecraft:lodestone,minecraft:polished_blackstone_pressure_plate
minecraft:loom,minecraft:polished_blackstone_slab
minecraft:mace,minecraft:polished_blackstone_stairs
minecraft:magenta_banner,minecraft:polished_blackstone_wall
minecraft:magenta_bed,minecraft:polished_deepslate
minecraft:magenta_candle,minecraft:polished_deepslate_slab
minecraft:magenta_carpet,minecraft:polished_deepslate_stairs
minecraft:magenta_concrete,minecraft:polished_deepslate_wall
minecraft:magenta_concrete_powder,minecraft:polished_diorite
minecraft:magenta_dye,minecraft:polished_diorite_slab
minecraft:magenta_glazed_terracotta,minecraft:polished_diorite_stairs
minecraft:magenta_shulker_box,minecraft:polished_granite
minecraft:magenta_stained_glass,minecraft:polished_granite_slab
minecraft:magenta_stained_glass_pane,minecraft:polished_granite_stairs
minecraft:magenta_terracotta,minecraft:polished_tuff
minecraft:magenta_wool,minecraft:polished_tuff_slab
minecraft:magma_block,minecraft:polished_tuff_stairs
minecraft:magma_cream,minecraft:polished_tuff_wall
minecraft:magma_cube_spawn_egg,minecraft:poppy
minecraft:mangrove_boat,minecraft:potatoes
minecraft:mangrove_button,minecraft:potted_acacia_sapling
minecraft:mangrove_chest_boat,minecraft:potted_allium
minecraft:mangrove_door,minecraft:potted_azalea_bush
minecraft:mangrove_fence,minecraft:potted_azure_bluet
minecraft:mangrove_fence_gate,minecraft:potted_bamboo
minecraft:mangrove_hanging_sign,minecraft:potted_birch_sapling
minecraft:mangrove_leaves,minecraft:potted_blue_orchid
minecraft:mangrove_log,minecraft:potted_brown_mushroom
minecraft:mangrove_planks,minecraft:potted_cactus
minecraft:mangrove_pressure_plate,minecraft:potted_cherry_sapling
minecraft:mangrove_propagule,minecraft:potted_cornflower
minecraft:mangrove_roots,minecraft:potted_crimson_fungus
minecraft:mangrove_sign,minecraft:potted_crimson_roots
minecraft:mangrove_slab,minecraft:potted_dandelion
minecraft:mangrove_stairs,minecraft:potted_dark_oak_sapling
minecraft:mangrove_trapdoor,minecraft:potted_dead_bush
minecraft:mangrove_wood,minecraft:potted_fern
minecraft:map,minecraft:potted_flowering_azalea_bush
minecraft:medium_amethyst_bud,minecraft:potted_jungle_sapling
minecraft:melon,minecraft:potted_lily_of_the_valley
minecraft:melon_slice,minecraft:potted_mangrove_propagule
minecraft:melon_stem,minecraft:potted_oak_sapling
minecraft:milk_bucket,minecraft:potted_orange_tulip
minecraft:minecart,minecraft:potted_oxeye_daisy
minecraft:miner_pottery_sherd,minecraft:potted_pink_tulip
minecraft:mojang_banner_pattern,minecraft:potted_poppy
minecraft:mooshroom_spawn_egg,minecraft:potted_red_mushroom
minecraft:moss_block,minecraft:potted_red_tulip
minecraft:moss_carpet,minecraft:potted_spruce_sapling
minecraft:mossy_cobblestone,minecraft:potted_torchflower
minecraft:mossy_cobblestone_slab,minecraft:potted_warped_fungus
minecraft:mossy_cobblestone_stairs,minecraft:potted_warped_roots
minecraft:mossy_cobblestone_wall,minecraft:potted_white_tulip
minecraft:mossy_stone_brick_slab,minecraft:potted_wither_rose
minecraft:mossy_stone_brick_stairs,minecraft:powder_snow
minecraft:mossy_stone_brick_wall,minecraft:powder_snow_cauldron
minecraft:mossy_stone_bricks,minecraft:powered_rail
minecraft:mourner_pottery_sherd,minecraft:prismarine
minecraft:mud,minecraft:prismarine_brick_slab
minecraft:mud_brick_slab,minecraft:prismarine_brick_stairs
minecraft:mud_brick_stairs,minecraft:prismarine_bricks
minecraft:mud_brick_wall,minecraft:prismarine_slab
minecraft:mud_bricks,minecraft:prismarine_stairs
minecraft:muddy_mangrove_roots,minecraft:prismarine_wall
minecraft:mule_spawn_egg,minecraft:pumpkin
minecraft:mushroom_stem,minecraft:pumpkin_stem
minecraft:mushroom_stew,minecraft:purple_banner
minecraft:music_disc_11,minecraft:purple_bed
minecraft:music_disc_13,minecraft:purple_candle
minecraft:music_disc_5,minecraft:purple_candle_cake
minecraft:music_disc_blocks,minecraft:purple_carpet
minecraft:music_disc_cat,minecraft:purple_concrete
minecraft:music_disc_chirp,minecraft:purple_concrete_powder
minecraft:music_disc_creator,minecraft:purple_glazed_terracotta
minecraft:music_disc_creator_music_box,minecraft:purple_shulker_box
minecraft:music_disc_far,minecraft:purple_stained_glass
minecraft:music_disc_mall,minecraft:purple_stained_glass_pane
minecraft:music_disc_mellohi,minecraft:purple_terracotta
minecraft:music_disc_otherside,minecraft:purple_wall_banner
minecraft:music_disc_pigstep,minecraft:purple_wool
minecraft:music_disc_precipice,minecraft:purpur_block
minecraft:music_disc_relic,minecraft:purpur_pillar
minecraft:music_disc_stal,minecraft:purpur_slab
minecraft:music_disc_strad,minecraft:purpur_stairs
minecraft:music_disc_wait,minecraft:quartz_block
minecraft:music_disc_ward,minecraft:quartz_bricks
minecraft:mutton,minecraft:quartz_pillar
minecraft:mycelium,minecraft:quartz_slab
minecraft:name_tag,minecraft:quartz_stairs
minecraft:nautilus_shell,minecraft:rail
minecraft:nether_brick,minecraft:raw_copper_block
minecraft:nether_brick_fence,minecraft:raw_gold_block
minecraft:nether_brick_slab,minecraft:raw_iron_block
minecraft:nether_brick_stairs,minecraft:red_banner
minecraft:nether_brick_wall,minecraft:red_bed
minecraft:nether_bricks,minecraft:red_candle
minecraft:nether_gold_ore,minecraft:red_candle_cake
minecraft:nether_quartz_ore,minecraft:red_carpet
minecraft:nether_sprouts,minecraft:red_concrete
minecraft:nether_star,minecraft:red_concrete_powder
minecraft:nether_wart,minecraft:red_glazed_terracotta
minecraft:nether_wart_block,minecraft:red_mushroom
minecraft:netherite_axe,minecraft:red_mushroom_block
minecraft:netherite_block,minecraft:red_nether_brick_slab
minecraft:netherite_boots,minecraft:red_nether_brick_stairs
minecraft:netherite_chestplate,minecraft:red_nether_brick_wall
minecraft:netherite_helmet,minecraft:red_nether_bricks
minecraft:netherite_hoe,minecraft:red_sand
minecraft:netherite_ingot,minecraft:red_sandstone
minecraft:netherite_leggings,minecraft:red_sandstone_slab
minecraft:netherite_pickaxe,minecraft:red_sandstone_stairs
minecraft:netherite_scrap,minecraft:red_sandstone_wall
minecraft:netherite_shovel,minecraft:red_shulker_box
minecraft:netherite_sword,minecraft:red_stained_glass
minecraft:netherite_upgrade_smithing_template,minecraft:red_stained_glass_pane
minecraft:netherrack,minecraft:red_terracotta
minecraft:note_block,minecraft:red_tulip
minecraft:oak_boat,minecraft:red_wall_banner
minecraft:oak_button,minecraft:red_wool
minecraft:oak_chest_boat,minecraft:redstone_block
minecraft:oak_door,minecraft:redstone_lamp
minecraft:oak_fence,minecraft:redstone_ore
minecraft:oak_fence_gate,minecraft:redstone_torch
minecraft:oak_hanging_sign,minecraft:redstone_wall_torch
minecraft:oak_leaves,minecraft:redstone_wire
minecraft:oak_log,minecraft:reinforced_deepslate
minecraft:oak_planks,minecraft:repeater
minecraft:oak_pressure_plate,minecraft:repeating_command_block
minecraft:oak_sapling,minecraft:respawn_anchor
minecraft:oak_sign,minecraft:rooted_dirt
minecraft:oak_slab,minecraft:rose_bush
minecraft:oak_stairs,minecraft:sand
minecraft:oak_trapdoor,minecraft:sandstone
minecraft:oak_wood,minecraft:sandstone_slab
minecraft:observer,minecraft:sandstone_stairs
minecraft:obsidian,minecraft:sandstone_wall
minecraft:ocelot_spawn_egg,minecraft:scaffolding
minecraft:ochre_froglight,minecraft:sculk
minecraft:ominous_bottle,minecraft:sculk_catalyst
minecraft:ominous_trial_key,minecraft:sculk_sensor
minecraft:orange_banner,minecraft:sculk_shrieker
minecraft:orange_bed,minecraft:sculk_vein
minecraft:orange_candle,minecraft:sea_lantern
minecraft:orange_carpet,minecraft:sea_pickle
minecraft:orange_concrete,minecraft:seagrass
minecraft:orange_concrete_powder,minecraft:short_grass
minecraft:orange_dye,minecraft:shroomlight
minecraft:orange_glazed_terracotta,minecraft:shulker_box
minecraft:orange_shulker_box,minecraft:skeleton_skull
minecraft:orange_stained_glass,minecraft:skeleton_wall_skull
minecraft:orange_stained_glass_pane,minecraft:slime_block
minecraft:orange_terracotta,minecraft:small_amethyst_bud
minecraft:orange_tulip,minecraft:small_dripleaf
minecraft:orange_wool,minecraft:smithing_table
minecraft:oxeye_daisy,minecraft:smoker
minecraft:oxidized_chiseled_copper,minecraft:smooth_basalt
minecraft:oxidized_copper,minecraft:smooth_quartz
minecraft:oxidized_copper_bulb,minecraft:smooth_quartz_slab
minecraft:oxidized_copper_door,minecraft:smooth_quartz_stairs
minecraft:oxidized_copper_grate,minecraft:smooth_red_sandstone
minecraft:oxidized_copper_trapdoor,minecraft:smooth_red_sandstone_slab
minecraft:oxidized_cut_copper,minecraft:smooth_red_sandstone_stairs
minecraft:oxidized_cut_copper_slab,minecraft:smooth_sandstone
minecraft:oxidized_cut_copper_stairs,minecraft:smooth_sandstone_slab
minecraft:packed_ice,minecraft:smooth_sandstone_stairs
minecraft:packed_mud,minecraft:smooth_stone
minecraft:painting,minecraft:smooth_stone_slab
minecraft:panda_spawn_egg,minecraft:sniffer_egg
minecraft:paper,minecraft:snow
minecraft:parrot_spawn_egg,minecraft:snow_block
minecraft:pearlescent_froglight,minecraft:soul_campfire
minecraft:peony,minecraft:soul_fire
minecraft:petrified_oak_slab,minecraft:soul_lantern
minecraft:phantom_membrane,minecraft:soul_sand
minecraft:phantom_spawn_egg,minecraft:soul_soil
minecraft:pig_spawn_egg,minecraft:soul_torch
minecraft:piglin_banner_pattern,minecraft:soul_wall_torch
minecraft:piglin_brute_spawn_egg,minecraft:spawner
minecraft:piglin_head,minecraft:sponge
minecraft:piglin_spawn_egg,minecraft:spore_blossom
minecraft:pillager_spawn_egg,minecraft:spruce_button
minecraft:pink_banner,minecraft:spruce_door
minecraft:pink_bed,minecraft:spruce_fence
minecraft:pink_candle,minecraft:spruce_fence_gate
minecraft:pink_carpet,minecraft:spruce_hanging_sign
minecraft:pink_concrete,minecraft:spruce_leaves
minecraft:pink_concrete_powder,minecraft:spruce_log
minecraft:pink_dye,minecraft:spruce_planks
minecraft:pink_glazed_terracotta,minecraft:spruce_pressure_plate
minecraft:pink_petals,minecraft:spruce_sapling
minecraft:pink_shulker_box,minecraft:spruce_sign
minecraft:pink_stained_glass,minecraft:spruce_slab
minecraft:pink_stained_glass_pane,minecraft:spruce_stairs
minecraft:pink_terracotta,minecraft:spruce_trapdoor
minecraft:pink_tulip,minecraft:spruce_wall_hanging_sign
minecraft:pink_wool,minecraft:spruce_wall_sign
minecraft:piston,minecraft:spruce_wood
minecraft:pitcher_plant,minecraft:sticky_piston
minecraft:pitcher_pod,minecraft:stone
minecraft:player_head,minecraft:stone_brick_slab
minecraft:plenty_pottery_sherd,minecraft:stone_brick_stairs
minecraft:podzol,minecraft:stone_brick_wall
minecraft:pointed_dripstone,minecraft:stone_bricks
minecraft:poisonous_potato,minecraft:stone_button
minecraft:polar_bear_spawn_egg,minecraft:stone_pressure_plate
minecraft:polished_andesite,minecraft:stone_slab
minecraft:polished_andesite_slab,minecraft:stone_stairs
minecraft:polished_andesite_stairs,minecraft:stonecutter
minecraft:polished_basalt,minecraft:stripped_acacia_log
minecraft:polished_blackstone,minecraft:stripped_acacia_wood
minecraft:polished_blackstone_brick_slab,minecraft:stripped_bamboo_block
minecraft:polished_blackstone_brick_stairs,minecraft:stripped_birch_log
minecraft:polished_blackstone_brick_wall,minecraft:stripped_birch_wood
minecraft:polished_blackstone_bricks,minecraft:stripped_cherry_log
minecraft:polished_blackstone_button,minecraft:stripped_cherry_wood
minecraft:polished_blackstone_pressure_plate,minecraft:stripped_crimson_hyphae
minecraft:polished_blackstone_slab,minecraft:stripped_crimson_stem
minecraft:polished_blackstone_stairs,minecraft:stripped_dark_oak_log
minecraft:polished_blackstone_wall,minecraft:stripped_dark_oak_wood
minecraft:polished_deepslate,minecraft:stripped_jungle_log
minecraft:polished_deepslate_slab,minecraft:stripped_jungle_wood
minecraft:polished_deepslate_stairs,minecraft:stripped_mangrove_log
minecraft:polished_deepslate_wall,minecraft:stripped_mangrove_wood
minecraft:polished_diorite,minecraft:stripped_oak_log
minecraft:polished_diorite_slab,minecraft:stripped_oak_wood
minecraft:polished_diorite_stairs,minecraft:stripped_spruce_log
minecraft:polished_granite,minecraft:stripped_spruce_wood
minecraft:polished_granite_slab,minecraft:stripped_warped_hyphae
minecraft:polished_granite_stairs,minecraft:stripped_warped_stem
minecraft:polished_tuff,minecraft:structure_block
minecraft:polished_tuff_slab,minecraft:structure_void
minecraft:polished_tuff_stairs,minecraft:sugar_cane
minecraft:polished_tuff_wall,minecraft:sunflower
minecraft:popped_chorus_fruit,minecraft:suspicious_gravel
minecraft:poppy,minecraft:suspicious_sand
minecraft:porkchop,minecraft:sweet_berry_bush
minecraft:potato,minecraft:tall_grass
minecraft:potion,minecraft:tall_seagrass
minecraft:powder_snow_bucket,minecraft:target
minecraft:powered_rail,minecraft:terracotta
minecraft:prismarine,minecraft:tinted_glass
minecraft:prismarine_brick_slab,minecraft:tnt
minecraft:prismarine_brick_stairs,minecraft:torch
minecraft:prismarine_bricks,minecraft:torchflower
minecraft:prismarine_crystals,minecraft:torchflower_crop
minecraft:prismarine_shard,minecraft:trapped_chest
minecraft:prismarine_slab,minecraft:trial_spawner
minecraft:prismarine_stairs,minecraft:tripwire
minecraft:prismarine_wall,minecraft:tripwire_hook
minecraft:prize_pottery_sherd,minecraft:tube_coral
minecraft:pufferfish,minecraft:tube_coral_block
minecraft:pufferfish_bucket,minecraft:tube_coral_fan
minecraft:pufferfish_spawn_egg,minecraft:tube_coral_wall_fan
minecraft:pumpkin,minecraft:tuff
minecraft:pumpkin_pie,minecraft:tuff_brick_slab
minecraft:pumpkin_stem,minecraft:tuff_brick_stairs
minecraft:purple_banner,minecraft:tuff_brick_wall
minecraft:purple_bed,minecraft:tuff_bricks
minecraft:purple_candle,minecraft:tuff_slab
minecraft:purple_carpet,minecraft:tuff_stairs
minecraft:purple_concrete,minecraft:tuff_wall
minecraft:purple_concrete_powder,minecraft:turtle_egg
minecraft:purple_dye,minecraft:twisting_vines
minecraft:purple_glazed_terracotta,minecraft:twisting_vines_plant
minecraft:purple_shulker_box,minecraft:vault
minecraft:purple_stained_glass,minecraft:verdant_froglight
minecraft:purple_stained_glass_pane,minecraft:vine
minecraft:purple_terracotta,minecraft:void_air
minecraft:purple_wool,minecraft:wall_torch
minecraft:purpur_block,minecraft:warped_button
minecraft:purpur_pillar,minecraft:warped_door
minecraft:purpur_slab,minecraft:warped_fence
minecraft:purpur_stairs,minecraft:warped_fence_gate
minecraft:quartz,minecraft:warped_fungus
minecraft:quartz_block,minecraft:warped_hanging_sign
minecraft:quartz_bricks,minecraft:warped_hyphae
minecraft:quartz_pillar,minecraft:warped_nylium
minecraft:quartz_slab,minecraft:warped_planks
minecraft:quartz_stairs,minecraft:warped_pressure_plate
minecraft:rabbit,minecraft:warped_roots
minecraft:rabbit_foot,minecraft:warped_sign
minecraft:rabbit_hide,minecraft:warped_slab
minecraft:rabbit_spawn_egg,minecraft:warped_stairs
minecraft:rabbit_stew,minecraft:warped_stem
minecraft:rail,minecraft:warped_trapdoor
minecraft:raiser_armor_trim_smithing_template,minecraft:warped_wall_hanging_sign
minecraft:ravager_spawn_egg,minecraft:warped_wall_sign
minecraft:raw_copper,minecraft:warped_wart_block
minecraft:raw_copper_block,minecraft:water
minecraft:raw_gold,minecraft:water_cauldron
minecraft:raw_gold_block,minecraft:waxed_chiseled_copper
minecraft:raw_iron,minecraft:waxed_copper_block
minecraft:raw_iron_block,minecraft:waxed_copper_bulb
minecraft:recovery_compass,minecraft:waxed_copper_door
minecraft:red_banner,minecraft:waxed_copper_grate
minecraft:red_bed,minecraft:waxed_copper_trapdoor
minecraft:red_candle,minecraft:waxed_cut_copper
minecraft:red_carpet,minecraft:waxed_cut_copper_slab
minecraft:red_concrete,minecraft:waxed_cut_copper_stairs
minecraft:red_concrete_powder,minecraft:waxed_exposed_chiseled_copper
minecraft:red_dye,minecraft:waxed_exposed_copper
minecraft:red_glazed_terracotta,minecraft:waxed_exposed_copper_bulb
minecraft:red_mushroom,minecraft:waxed_exposed_copper_door
minecraft:red_mushroom_block,minecraft:waxed_exposed_copper_grate
minecraft:red_nether_brick_slab,minecraft:waxed_exposed_copper_trapdoor
minecraft:red_nether_brick_stairs,minecraft:waxed_exposed_cut_copper
minecraft:red_nether_brick_wall,minecraft:waxed_exposed_cut_copper_slab
minecraft:red_nether_bricks,minecraft:waxed_exposed_cut_copper_stairs
minecraft:red_sand,minecraft:waxed_oxidized_chiseled_copper
minecraft:red_sandstone,minecraft:waxed_oxidized_copper
minecraft:red_sandstone_slab,minecraft:waxed_oxidized_copper_bulb
minecraft:red_sandstone_stairs,minecraft:waxed_oxidized_copper_door
minecraft:red_sandstone_wall,minecraft:waxed_oxidized_copper_grate
minecraft:red_shulker_box,minecraft:waxed_oxidized_copper_trapdoor
minecraft:red_stained_glass,minecraft:waxed_oxidized_cut_copper
minecraft:red_stained_glass_pane,minecraft:waxed_oxidized_cut_copper_slab
minecraft:red_terracotta,minecraft:waxed_oxidized_cut_copper_stairs
minecraft:red_tulip,minecraft:waxed_weathered_chiseled_copper
minecraft:red_wool,minecraft:waxed_weathered_copper
minecraft:redstone,minecraft:waxed_weathered_copper_bulb
minecraft:redstone_block,minecraft:waxed_weathered_copper_door
minecraft:redstone_lamp,minecraft:waxed_weathered_copper_grate
minecraft:redstone_ore,minecraft:waxed_weathered_copper_trapdoor
minecraft:redstone_torch,minecraft:waxed_weathered_cut_copper
minecraft:reinforced_deepslate,minecraft:waxed_weathered_cut_copper_slab
minecraft:repeater,minecraft:waxed_weathered_cut_copper_stairs
minecraft:repeating_command_block,minecraft:weathered_chiseled_copper
minecraft:respawn_anchor,minecraft:weathered_copper
minecraft:rib_armor_trim_smithing_template,minecraft:weathered_copper_bulb
minecraft:rooted_dirt,minecraft:weathered_copper_door
minecraft:rose_bush,minecraft:weathered_copper_grate
minecraft:rotten_flesh,minecraft:weathered_copper_trapdoor
minecraft:saddle,minecraft:weathered_cut_copper
minecraft:salmon,minecraft:weathered_cut_copper_slab
minecraft:salmon_bucket,minecraft:weathered_cut_copper_stairs
minecraft:salmon_spawn_egg,minecraft:weeping_vines
minecraft:sand,minecraft:weeping_vines_plant
minecraft:sandstone,minecraft:wet_sponge
minecraft:sandstone_slab,minecraft:wheat
minecraft:sandstone_stairs,minecraft:white_banner
minecraft:sandstone_wall,minecraft:white_bed
minecraft:scaffolding,minecraft:white_candle
minecraft:scrape_pottery_sherd,minecraft:white_candle_cake
minecraft:sculk,minecraft:white_carpet
minecraft:sculk_catalyst,minecraft:white_concrete
minecraft:sculk_sensor,minecraft:white_concrete_powder
minecraft:sculk_shrieker,minecraft:white_glazed_terracotta
minecraft:sculk_vein,minecraft:white_shulker_box
minecraft:sea_lantern,minecraft:white_stained_glass
minecraft:sea_pickle,minecraft:white_stained_glass_pane
minecraft:seagrass,minecraft:white_terracotta
minecraft:sentry_armor_trim_smithing_template,minecraft:white_tulip
minecraft:shaper_armor_trim_smithing_template,minecraft:white_wall_banner
minecraft:sheaf_pottery_sherd,minecraft:white_wool
minecraft:shears,minecraft:wither_rose
minecraft:sheep_spawn_egg,minecraft:wither_skeleton_skull
minecraft:shelter_pottery_sherd,minecraft:wither_skeleton_wall_skull
minecraft:shield,minecraft:yellow_banner
minecraft:short_grass,minecraft:yellow_bed
minecraft:shroomlight,minecraft:yellow_candle
minecraft:shulker_box,minecraft:yellow_candle_cake
minecraft:shulker_shell,minecraft:yellow_carpet
minecraft:shulker_spawn_egg,minecraft:yellow_concrete
