atomic_number,symbol,element_name,period,electron_block,column,production_rule,celestial_source,designer_status,notes
296,Im,Undecafluxium,11,m,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
297,Io,Undecashiftium,11,m,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
298,Ip,Undecaisomerium,11,m,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
299,Iq,Undecametabium,11,m,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
300,Is,Undecaphasebium,11,m,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
301,It,Undecaquantbium,11,m,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
302,Iu,Undecafluxbium,11,m,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
303,Iv,Undecashiftbium,11,m,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
304,Iw,Undecaisomerbium,11,m,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
305,Ix,Undecametacium,11,m,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
306,Iy,Undecaphasecium,11,m,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
307,Iz,Undecaquantcium,11,m,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
308,Ja,Undecafluxcium,11,m,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
309,Jb,Undecashiftcium,11,m,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
310,Jc,Undecaisomercium,11,m,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
311,Jd,Undecametadium,11,m,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
312,Je,Undecaphasedium,11,m,19,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
313,Jf,Undecaquantdium,11,m,20,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
314,Jg,Undecafluxdium,11,m,21,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
315,Jh,Undecaharmonium,11,h,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
316,Ji,Undecaresonium,11,h,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
317,Jj,Undecagyroium,11,h,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
318,Jk,Undecasonorium,11,h,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
319,Jl,Undecarotarium,11,h,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
320,Jm,Undecaphonoium,11,h,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
321,Jn,Undecaharmonbium,11,h,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
322,Jo,Undecaresonbium,11,h,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
323,Jp,Undecagyrobium,11,h,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
324,Jq,Undecasonorbium,11,h,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
325,Jr,Undecarotarbium,11,h,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
326,Js,Undecaphonobium,11,h,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
327,Jt,Undecaharmoncium,11,h,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
328,Ju,Undecaresoncium,11,h,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
329,Jv,Undecagyrocium,11,h,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
330,Jw,Undecasonorcium,11,h,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
331,Jx,Undecarotarcium,11,h,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
332,Jy,Undecaphonocium,11,h,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
333,Jz,Undecafissium,11,f,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
334,Ka,Undecaradioium,11,f,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
335,Kb,Undecaactinium,11,f,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
336,Kc,Undecanucleoium,11,f,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
337,Kd,Undecadecayium,11,f,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
338,Ke,Undecafusionium,11,f,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
339,Kf,Undecafissbium,11,f,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
340,Kg,Undecaradiobium,11,f,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
341,Kh,Undecaactinbium,11,f,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
342,Ki,Undecanucleobium,11,f,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
343,Kj,Undecadecaybium,11,f,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
344,Kk,Undecafusionbium,11,f,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
345,Kl,Undecafisscium,11,f,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
346,Km,Undecaradiocium,11,f,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
347,Kn,Undecaferroium,11,d,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
348,Ko,Undecacatalium,11,d,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
349,Kp,Undecaconductium,11,d,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
350,Kq,Undecachromium,11,d,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
351,Ks,Undecakinetium,11,d,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
352,Kt,Undecaallotropium,11,d,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
353,Ku,Undecaferrobium,11,d,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
354,Kv,Undecacatalbium,11,d,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
355,Kw,Undecaconductbium,11,d,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
356,Kx,Undecachrombium,11,d,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
357,Ky,Undecaaerium,11,p,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
358,Kz,Undecacrystium,11,p,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
359,Lb,Undecaluminium,11,p,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
360,Lc,Undecareactium,11,p,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
361,Ld,Undecaplasmium,11,p,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
362,Le,Undecavaporium,11,p,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
363,Lf,Dodecasolium,12,s,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
364,Lg,Dodecaalkium,12,s,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
365,Lh,Dodecaanomium,12,a,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
366,Lj,Dodecachronoium,12,a,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
367,Lk,Dodecagravium,12,a,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
368,Ll,Dodecaparadoxium,12,a,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
369,Lm,Dodecaaxium,12,a,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
370,Ln,Dodecavoidium,12,a,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
371,Lo,Dodecaanombium,12,a,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
372,Lp,Dodecachronobium,12,a,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
373,Lq,Dodecagravibum,12,a,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
374,Ls,Dodecaparadoxbium,12,a,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
375,Lt,Dodecaaxibum,12,a,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
376,Lw,Dodecavoidbium,12,a,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
377,Lx,Dodecaanomcium,12,a,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
378,Ly,Dodecachronocium,12,a,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
379,Lz,Dodecagravicum,12,a,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
380,Ma,Dodecaparadoxcium,12,a,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
381,Mb,Dodecaaxicum,12,a,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
382,Me,Dodecavoidcium,12,a,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
383,Mf,Dodecaanomdium,12,a,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
384,Mh,Dodecachronodium,12,a,19,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
385,Mi,Dodecagravidum,12,a,20,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
386,Mj,Dodecaparadoxdium,12,a,21,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
387,Mk,Dodecaaxidum,12,a,22,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
388,Ml,Dodecavoiddium,12,a,23,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
389,Mm,Dodecaanomeium,12,a,24,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
390,Mp,Dodecachronoeium,12,a,25,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
391,Mq,Dodecametaium,12,m,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
392,Mr,Dodecaphaseium,12,m,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
393,Ms,Dodecaquantium,12,m,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
394,Mu,Dodecafluxium,12,m,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
395,Mv,Dodecashiftium,12,m,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
396,Mw,Dodecaisomerium,12,m,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
397,Mx,Dodecametabium,12,m,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
398,My,Dodecaphasebium,12,m,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
399,Mz,Dodecaquantbium,12,m,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
400,Nc,Dodecafluxbium,12,m,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
401,Nf,Dodecashiftbium,12,m,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
402,Ng,Dodecaisomerbium,12,m,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
403,Nj,Dodecametacium,12,m,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
404,Nk,Dodecaphasecium,12,m,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
405,Nl,Dodecaquantcium,12,m,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
406,Nm,Dodecafluxcium,12,m,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
407,Nn,Dodecashiftcium,12,m,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
408,Nq,Dodecaisomercium,12,m,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
409,Nr,Dodecametadium,12,m,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
410,Ns,Dodecaphasedium,12,m,19,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
411,Nt,Dodecaquantdium,12,m,20,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
412,Nu,Dodecafluxdium,12,m,21,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
413,Nv,Dodecaharmonium,12,h,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
414,Nw,Dodecaresonium,12,h,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
415,Nx,Dodecagyroium,12,h,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
416,Ny,Dodecasonorium,12,h,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
417,Nz,Dodecarotarium,12,h,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
418,Oa,Dodecaphonoium,12,h,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
419,Ob,Dodecaharmonbium,12,h,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
420,Oc,Dodecaresonbium,12,h,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
421,Od,Dodecagyrobium,12,h,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
422,Oe,Dodecasonorbium,12,h,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
423,Of,Dodecarotarbium,12,h,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
424,Oh,Dodecaphonobium,12,h,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
425,Oi,Dodecaharmoncium,12,h,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
426,Oj,Dodecaresoncium,12,h,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
427,Ok,Dodecagyrocium,12,h,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
428,Ol,Dodecasonorcium,12,h,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
429,Om,Dodecarotarcium,12,h,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
430,On,Dodecaphonocium,12,h,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
431,Oo,Dodecafissium,12,f,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
432,Op,Dodecaradioium,12,f,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
433,Oq,Dodecaactinium,12,f,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
434,Or,Dodecanucleoium,12,f,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
435,Ot,Dodecadecayium,12,f,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
436,Ou,Dodecafusionium,12,f,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
437,Ov,Dodecafissbium,12,f,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
438,Ow,Dodecaradiobium,12,f,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
439,Ox,Dodecaactinbium,12,f,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
440,Oy,Dodecanucleobium,12,f,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
441,Oz,Dodecadecaybium,12,f,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
442,Pc,Dodecafusionbium,12,f,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
443,Pe,Dodecafisscium,12,f,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
444,Pf,Dodecaradiocium,12,f,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
445,Pg,Dodecaferroium,12,d,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
446,Ph,Dodecacatalium,12,d,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
447,Pi,Dodecaconductium,12,d,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
448,Pj,Dodecachromium,12,d,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
449,Pk,Dodecakinetium,12,d,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
450,Pl,Dodecaallotropium,12,d,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
451,Pn,Dodecaferrobium,12,d,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
452,Pp,Dodecacatalbium,12,d,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
453,Pq,Dodecaconductbium,12,d,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
454,Ps,Dodecachrombium,12,d,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
455,Pv,Dodecaaerium,12,p,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
456,Pw,Dodecacrystium,12,p,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
457,Px,Dodecaluminium,12,p,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
458,Py,Dodecareactium,12,p,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
459,Pz,Dodecaplasmium,12,p,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
460,Qa,Dodecavaporium,12,p,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
461,Qb,Tridecasolium,13,s,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
462,Qc,Tridecaalkium,13,s,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
463,Qd,Tridecaanomium,13,a,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
464,Qe,Tridecachronoium,13,a,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
465,Qf,Tridecagravium,13,a,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
466,Qg,Tridecaparadoxium,13,a,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
467,Qh,Tridecaaxium,13,a,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
468,Qi,Tridecavoidium,13,a,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
469,Qj,Tridecaanombium,13,a,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
470,Qk,Tridecachronobium,13,a,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
471,Ql,Tridecagravibum,13,a,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
472,Qm,Tridecaparadoxbium,13,a,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
473,Qn,Tridecaaxibum,13,a,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
474,Qo,Tridecavoidbium,13,a,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
475,Qp,Tridecaanomcium,13,a,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
476,Qq,Tridecachronocium,13,a,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
477,Qr,Tridecagravicum,13,a,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
478,Qs,Tridecaparadoxcium,13,a,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
479,Qt,Tridecaaxicum,13,a,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
480,Qu,Tridecavoidcium,13,a,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
481,Qv,Tridecaanomdium,13,a,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
482,Qw,Tridecachronodium,13,a,19,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
483,Qx,Tridecagravidum,13,a,20,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
484,Qy,Tridecaparadoxdium,13,a,21,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
485,Qz,Tridecaaxidum,13,a,22,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
486,Rc,Tridecavoiddium,13,a,23,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
487,Rd,Tridecaanomeium,13,a,24,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
488,Ri,Tridecachronoeium,13,a,25,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
489,Rj,Tridecametaium,13,m,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
490,Rk,Tridecaphaseium,13,m,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
491,Rl,Tridecaquantium,13,m,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
492,Rm,Tridecafluxium,13,m,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
493,Ro,Tridecashiftium,13,m,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
494,Rp,Tridecaisomerium,13,m,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
495,Rq,Tridecametabium,13,m,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
496,Rr,Tridecaphasebium,13,m,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
497,Rs,Tridecaquantbium,13,m,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
498,Rt,Tridecafluxbium,13,m,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
499,Rv,Tridecashiftbium,13,m,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
500,Rw,Tridecaisomerbium,13,m,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
501,Rx,Tridecametacium,13,m,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
502,Ry,Tridecaphasecium,13,m,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
503,Rz,Tridecaquantcium,13,m,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
504,Sa,Tridecafluxcium,13,m,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
505,Sd,Tridecashiftcium,13,m,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
506,Sf,Tridecaisomercium,13,m,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
507,Sh,Tridecametadium,13,m,18,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
508,Sj,Tridecaphasedium,13,m,19,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
509,Sk,Tridecaquantdium,13,m,20,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
510,Sl,Tridecafluxdium,13,m,21,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
511,So,Tridecaharmonium,13,h,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
512,Sp,Tridecaresonium,13,h,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
513,Sq,Tridecagyroium,13,h,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
514,Ss,Tridecasonorium,13,h,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
515,St,Tridecarotarium,13,h,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
516,Su,Tridecaphonoium,13,h,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
517,Sv,Tridecaharmonbium,13,h,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
518,Sw,Tridecaresonbium,13,h,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
519,Sx,Tridecagyrobium,13,h,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
520,Sy,Tridecasonorbium,13,h,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
521,Sz,Tridecarotarbium,13,h,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
522,Td,Tridecaphonobium,13,h,11,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
523,Tf,Tridecaharmoncium,13,h,12,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
524,Tg,Tridecaresoncium,13,h,13,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
525,Tj,Tridecagyrocium,13,h,14,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
526,Tk,Tridecasonorcium,13,h,15,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
527,Tn,Tridecarotarcium,13,h,16,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
528,To,Tridecaphonocium,13,h,17,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
529,Tp,Tridecafissium,13,f,0,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
530,Tq,Tridecaradioium,13,f,1,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
531,Tr,Tridecaactinium,13,f,2,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
532,Tt,Tridecanucleoium,13,f,3,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
533,Tu,Tridecadecayium,13,f,4,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
534,Tv,Tridecafusionium,13,f,5,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
535,Tw,Tridecafissbium,13,f,6,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
536,Tx,Tridecaradiobium,13,f,7,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
537,Ty,Tridecaactinbium,13,f,8,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
538,Tz,Tridecanucleobium,13,f,9,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
539,Ua,Tridecadecaybium,13,f,10,Particle Reaction only,Particle Accelerator,Not started,Pure fictional element; not an alloy
